Country,Happiness score,Year
Finland,7.769,2019
Denmark,7.600,2019
Norway,7.554,2019
Iceland,7.494,2019
Netherlands,7.488,2019
Switzerland,7.480,2019
Sweden,7.343,2019
New Zealand,7.307,2019
Canada,7.278,2019
Austria,7.246,2019
Australia,7.228,2019
Costa Rica,7.167,2019
Israel,7.139,2019
Luxembourg,7.090,2019
United Kingdom,7.054,2019
Ireland,7.021,2019
Germany,6.985,2019
Belgium,6.923,2019
United States,6.892,2019
Czech Republic,6.852,2019
United Arab Emirates,6.825,2019
Malta,6.726,2019
Mexico,6.595,2019
France,6.592,2019
Taiwan Province of China,6.446,2019
Chile,6.444,2019
Guatemala,6.436,2019
Saudi Arabia,6.375,2019
Qatar,6.374,2019
Spain,6.354,2019
Panama,6.321,2019
Brazil,6.300,2019
Uruguay,6.293,2019
Singapore,6.262,2019
El Salvador,6.253,2019
Italy,6.223,2019
Bahrain,6.199,2019
Slovakia,6.198,2019
Trinidad and Tobago,6.192,2019
Poland,6.182,2019
Uzbekistan,6.174,2019
Lithuania,6.149,2019
Colombia,6.125,2019
Slovenia,6.118,2019
Nicaragua,6.105,2019
Kosovo,6.100,2019
Argentina,6.086,2019
Romania,6.070,2019
Cyprus,6.046,2019
Ecuador,6.028,2019
Kuwait,6.021,2019
Thailand,6.008,2019
Latvia,5.940,2019
South Korea,5.895,2019
Estonia,5.893,2019
Jamaica,5.890,2019
Mauritius,5.888,2019
Japan,5.886,2019
Honduras,5.860,2019
Kazakhstan,5.809,2019
Bolivia,5.779,2019
Hungary,5.758,2019
Paraguay,5.743,2019
North Cyprus,5.718,2019
Peru,5.697,2019
Portugal,5.693,2019
Pakistan,5.653,2019
Russia,5.648,2019
Philippines,5.631,2019
Serbia,5.603,2019
Moldova,5.529,2019
Libya,5.525,2019
Montenegro,5.523,2019
Tajikistan,5.467,2019
Croatia,5.432,2019
Hong Kong S.A.R. of China,5.430,2019
Dominican Republic,5.425,2019
Bosnia and Herzegovina,5.386,2019
Turkey,5.373,2019
Malaysia,5.339,2019
Belarus,5.323,2019
Greece,5.287,2019
Mongolia,5.285,2019
Macedonia,5.274,2019
Nigeria,5.265,2019
Kyrgyzstan,5.261,2019
Turkmenistan,5.247,2019
Algeria,5.211,2019
Morocco,5.208,2019
Azerbaijan,5.208,2019
Lebanon,5.197,2019
Indonesia,5.192,2019
China,5.191,2019
Vietnam,5.175,2019
Bhutan,5.082,2019
Cameroon,5.044,2019
Bulgaria,5.011,2019
Ghana,4.996,2019
Ivory Coast,4.944,2019
Nepal,4.913,2019
Jordan,4.906,2019
Benin,4.883,2019
Congo (Brazzaville),4.812,2019
Gabon,4.799,2019
Laos,4.796,2019
South Africa,4.722,2019
Albania,4.719,2019
Venezuela,4.707,2019
Cambodia,4.700,2019
Palestinian Territories,4.696,2019
Senegal,4.681,2019
Somalia,4.668,2019
Namibia,4.639,2019
Niger,4.628,2019
Burkina Faso,4.587,2019
Armenia,4.559,2019
Iran,4.548,2019
Guinea,4.534,2019
Georgia,4.519,2019
Gambia,4.516,2019
Kenya,4.509,2019
Mauritania,4.490,2019
Mozambique,4.466,2019
Tunisia,4.461,2019
Bangladesh,4.456,2019
Iraq,4.437,2019
Congo (Kinshasa),4.418,2019
Mali,4.390,2019
Sierra Leone,4.374,2019
Sri Lanka,4.366,2019
Myanmar,4.360,2019
Chad,4.350,2019
Ukraine,4.332,2019
Ethiopia,4.286,2019
Swaziland,4.212,2019
Uganda,4.189,2019
Egypt,4.166,2019
Zambia,4.107,2019
Togo,4.085,2019
India,4.015,2019
Liberia,3.975,2019
Comoros,3.973,2019
Madagascar,3.933,2019
Lesotho,3.802,2019
Burundi,3.775,2019
Zimbabwe,3.663,2019
Haiti,3.597,2019
Botswana,3.488,2019
Syria,3.462,2019
Malawi,3.410,2019
Yemen,3.380,2019
Rwanda,3.334,2019
Tanzania,3.231,2019
Afghanistan,3.203,2019
Central African Republic,3.083,2019
South Sudan,2.853,2019
Finland,7.80870008468628,2020
Denmark,7.64559984207153,2020
Switzerland,7.55989980697632,2020
Iceland,7.50449991226196,2020
Norway,7.48799991607666,2020
Netherlands,7.44890022277832,2020
Sweden,7.35349988937378,2020
New Zealand,7.29960012435913,2020
Austria,7.29419994354248,2020
Luxembourg,7.23750019073486,2020
Canada,7.23210000991821,2020
Australia,7.22279977798462,2020
United Kingdom,7.16450023651123,2020
Israel,7.12860012054443,2020
Costa Rica,7.12139987945557,2020
Ireland,7.09369993209839,2020
Germany,7.0757999420166,2020
United States,6.93959999084473,2020
Czech Republic,6.9109001159668,2020
Belgium,6.86350011825562,2020
United Arab Emirates,6.79080009460449,2020
Malta,6.77279996871948,2020
France,6.66379976272583,2020
Mexico,6.46500015258789,2020
Taiwan Province of China,6.45539999008179,2020
Uruguay,6.44010019302368,2020
Saudi Arabia,6.4064998626709,2020
Spain,6.40089988708496,2020
Guatemala,6.39890003204346,2020
Italy,6.38740015029907,2020
Singapore,6.37709999084473,2020
Brazil,6.37559986114502,2020
Slovenia,6.36339998245239,2020
El Salvador,6.34829998016357,2020
Kosovo,6.32520008087158,2020
Panama,6.30480003356934,2020
Slovakia,6.28060007095337,2020
Uzbekistan,6.25759983062744,2020
Chile,6.22849988937378,2020
Bahrain,6.22730016708374,2020
Lithuania,6.21549987792969,2020
Trinidad and Tobago,6.19189977645874,2020
Poland,6.1862998008728,2020
Colombia,6.16340017318726,2020
Cyprus,6.15899991989136,2020
Nicaragua,6.13710021972656,2020
Romania,6.12370014190674,2020
Kuwait,6.1020998954773,2020
Mauritius,6.10129976272583,2020
Kazakhstan,6.05789995193481,2020
Estonia,6.02180004119873,2020
Philippines,6.00600004196167,2020
Hungary,6.00040006637573,2020
Thailand,5.9987998008728,2020
Argentina,5.97469997406006,2020
Honduras,5.95319986343384,2020
Latvia,5.94999980926514,2020
Ecuador,5.92519998550415,2020
Portugal,5.9109001159668,2020
Jamaica,5.88980007171631,2020
South Korea,5.87239980697632,2020
Japan,5.87080001831055,2020
Peru,5.79680013656616,2020
Serbia,5.77820014953613,2020
Bolivia,5.74749994277954,2020
Pakistan,5.69329977035522,2020
Paraguay,5.69210004806519,2020
Dominican Republic,5.68919992446899,2020
Bosnia and Herzegovina,5.67409992218018,2020
Moldova,5.60750007629395,2020
Tajikistan,5.55569982528687,2020
Montenegro,5.54610013961792,2020
Russia,5.5460000038147,2020
Kyrgyzstan,5.54150009155273,2020
Belarus,5.53989982604981,2020
North Cyprus,5.53550004959106,2020
Greece,5.5149998664856,2020
Hong Kong S.A.R. of China,5.51039981842041,2020
Croatia,5.50470018386841,2020
Libya,5.48880004882813,2020
Mongolia,5.45620012283325,2020
Malaysia,5.38430023193359,2020
Vietnam,5.35349988937378,2020
Indonesia,5.28560018539429,2020
Ivory Coast,5.23330020904541,2020
Benin,5.21600008010864,2020
Maldives,5.1975998878479,2020
Congo (Brazzaville),5.1943998336792,2020
Azerbaijan,5.16480016708374,2020
Macedonia,5.15980005264282,2020
Ghana,5.14799976348877,2020
Nepal,5.13719987869263,2020
Turkey,5.13180017471314,2020
China,5.12389993667603,2020
Turkmenistan,5.11910009384155,2020
Bulgaria,5.10150003433228,2020
Morocco,5.09479999542236,2020
Cameroon,5.08489990234375,2020
Venezuela,5.05319976806641,2020
Algeria,5.00509977340698,2020
Senegal,4.98080015182495,2020
Guinea,4.94929981231689,2020
Niger,4.90959978103638,2020
Laos,4.88859987258911,2020
Albania,4.88269996643066,2020
Cambodia,4.8484001159668,2020
Bangladesh,4.83279991149902,2020
Gabon,4.82929992675781,2020
South Africa,4.81409978866577,2020
Iraq,4.78480005264282,2020
Lebanon,4.77150011062622,2020
Burkina Faso,4.76870012283325,2020
Gambia,4.75059986114502,2020
Mali,4.72930002212524,2020
Nigeria,4.72410011291504,2020
Armenia,4.67679977416992,2020
Georgia,4.67259979248047,2020
Iran,4.67239999771118,2020
Jordan,4.63339996337891,2020
Mozambique,4.62360000610352,2020
Kenya,4.58300018310547,2020
Namibia,4.57110023498535,2020
Ukraine,4.56069993972778,2020
Liberia,4.55789995193481,2020
Palestinian Territories,4.55280017852783,2020
Uganda,4.43200016021729,2020
Chad,4.42269992828369,2020
Tunisia,4.39219999313355,2020
Mauritania,4.37459993362427,2020
Sri Lanka,4.3270001411438,2020
Congo (Kinshasa),4.31099987030029,2020
Swaziland,4.30810022354126,2020
Myanmar,4.30800008773804,2020
Comoros,4.28859996795654,2020
Togo,4.18720006942749,2020
Ethiopia,4.18620014190674,2020
Madagascar,4.16559982299805,2020
Egypt,4.15140008926392,2020
Sierra Leone,3.92639994621277,2020
Burundi,3.77530002593994,2020
Zambia,3.75939989089966,2020
Haiti,3.72079992294312,2020
Lesotho,3.6528000831604,2020
India,3.57329988479614,2020
Malawi,3.53800010681152,2020
Yemen,3.52740001678467,2020
Botswana,3.47889995574951,2020
Tanzania,3.47620010375977,2020
Central African Republic,3.47589993476868,2020
Rwanda,3.31229996681213,2020
Zimbabwe,3.2992000579834,2020
South Sudan,2.81660008430481,2020
Afghanistan,2.56690001487732,2020
Finland,7.842,2021
Denmark,7.620,2021
Switzerland,7.571,2021
Iceland,7.554,2021
Netherlands,7.464,2021
Norway,7.392,2021
Sweden,7.363,2021
Luxembourg,7.324,2021
New Zealand,7.277,2021
Austria,7.268,2021
Australia,7.183,2021
Israel,7.157,2021
Germany,7.155,2021
Canada,7.103,2021
Ireland,7.085,2021
Costa Rica,7.069,2021
United Kingdom,7.064,2021
Czech Republic,6.965,2021
United States,6.951,2021
Belgium,6.834,2021
France,6.690,2021
Bahrain,6.647,2021
Malta,6.602,2021
Taiwan Province of China,6.584,2021
United Arab Emirates,6.561,2021
Saudi Arabia,6.494,2021
Spain,6.491,2021
Italy,6.483,2021
Slovenia,6.461,2021
Guatemala,6.435,2021
Uruguay,6.431,2021
Singapore,6.377,2021
Kosovo,6.372,2021
Slovakia,6.331,2021
Brazil,6.330,2021
Mexico,6.317,2021
Jamaica,6.309,2021
Lithuania,6.255,2021
Cyprus,6.223,2021
Estonia,6.189,2021
Panama,6.180,2021
Uzbekistan,6.179,2021
Chile,6.172,2021
Poland,6.166,2021
Kazakhstan,6.152,2021
Romania,6.140,2021
Kuwait,6.106,2021
Serbia,6.078,2021
El Salvador,6.061,2021
Mauritius,6.049,2021
Latvia,6.032,2021
Colombia,6.012,2021
Hungary,5.992,2021
Thailand,5.985,2021
Nicaragua,5.972,2021
Japan,5.940,2021
Argentina,5.929,2021
Portugal,5.929,2021
Honduras,5.919,2021
Croatia,5.882,2021
Philippines,5.880,2021
South Korea,5.845,2021
Peru,5.840,2021
Bosnia and Herzegovina,5.813,2021
Moldova,5.766,2021
Ecuador,5.764,2021
Kyrgyzstan,5.744,2021
Greece,5.723,2021
Bolivia,5.716,2021
Mongolia,5.677,2021
Paraguay,5.653,2021
